Ort,PLZ,Gemeindename,Kanton,Sprache
St-Prex,1162,Saint-Prex,VD,fr
Etoy,1163,Etoy,VD,fr
Buchillon,1164,Buchillon,VD,fr
Allaman,1165,Allaman,VD,fr
Perroy,1166,Perroy,VD,fr
Lussy-sur-Morges,1167,Lussy-sur-Morges,VD,fr
Villars-sous-Yens,1168,Villars-sous-Yens,VD,fr
Yens,1169,Yens,VD,fr
Aubonne,1170,Aubonne,VD,fr
Bougy-Villars,1172,Bougy-Villars,VD,fr
Féchy,1173,Féchy,VD,fr
Pizy,1174,Aubonne,VD,fr
Montherod,1174,Montherod,VD,fr
Lavigny,1175,Lavigny,VD,fr
St-Livres,1176,Saint-Livres,VD,fr
Rolle,1180,Rolle,VD,fr
Tartegnin,1180,Tartegnin,VD,fr
Gilly,1182,Gilly,VD,fr
Bursins,1183,Bursins,VD,fr
Luins,1184,Luins,VD,fr
Vinzel,1184,Vinzel,VD,fr
Mont-sur-Rolle,1185,Mont-sur-Rolle,VD,fr
Essertines-sur-Rolle,1186,Essertines-sur-Rolle,VD,fr
St-Oyens,1187,Saint-Oyens,VD,fr
Gimel,1188,Gimel,VD,fr
St-George,1188,Saint-George,VD,fr
Saubraz,1189,Saubraz,VD,fr
Bursinel,1195,Bursinel,VD,fr
Dully,1195,Dully,VD,fr
Gland,1196,Gland,VD,fr
Prangins,1197,Prangins,VD,fr
Genève,1201,Genève,GE,fr
Genève,1202,Genève,GE,fr
Genève,1203,Genève,GE,fr
Genève,1204,Genève,GE,fr
Genève,1205,Genève,GE,fr
Genève,1206,Genève,GE,fr
Genève,1207,Genève,GE,fr
Genève,1208,Genève,GE,fr
Genève,1209,Genève,GE,fr
Grand-Lancy,1212,Lancy,GE,fr
Petit-Lancy,1213,Lancy,GE,fr
Onex,1213,Onex,GE,fr
Vernier,1214,Vernier,GE,fr
Genève,1215,Le Grand-Saconnex,GE,fr
Cointrin,1216,Meyrin,GE,fr
Meyrin,1217,Meyrin,GE,fr
Le Grand-Saconnex,1218,Le Grand-Saconnex,GE,fr
Le Lignon,1219,Vernier,GE,fr
Aïre,1219,Vernier,GE,fr
Châtelaine,1219,Vernier,GE,fr
Les Avanchets,1220,Vernier,GE,fr
Vésenaz,1222,Collonge-Bellerive,GE,fr
Cologny,1223,Cologny,GE,fr
Chêne-Bougeries,1224,Chêne-Bougeries,GE,fr
Chêne-Bourg,1225,Chêne-Bourg,GE,fr
Thônex,1226,Thônex,GE,fr
Carouge GE,1227,Carouge (GE),GE,fr
Les Acacias,1227,Genève,GE,fr
Plan-les-Ouates,1228,Plan-les-Ouates,GE,fr
Conches,1231,Chêne-Bougeries,GE,fr
Confignon,1232,Confignon,GE,fr
Bernex,1233,Bernex,GE,fr
Vessy,1234,Veyrier,GE,fr
Cartigny,1236,Cartigny,GE,fr
Avully,1237,Avully,GE,fr
Collex,1239,Collex-Bossy,GE,fr
Puplinge,1241,Puplinge,GE,fr
Satigny,1242,Satigny,GE,fr
Presinge,1243,Presinge,GE,fr
Choulex,1244,Choulex,GE,fr
Collonge-Bellerive,1245,Collonge-Bellerive,GE,fr
Corsier GE,1246,Corsier (GE),GE,fr
Anières,1247,Anières,GE,fr
Hermance,1248,Hermance,GE,fr
Gy,1251,Gy,GE,fr
Meinier,1252,Meinier,GE,fr
Vandoeuvres,1253,Vandoeuvres,GE,fr
Jussy,1254,Jussy,GE,fr
Veyrier,1255,Veyrier,GE,fr
Troinex,1256,Troinex,GE,fr
La Croix-de-Rozon,1257,Bardonnex,GE,fr
Perly,1258,Perly-Certoux,GE,fr
Nyon,1260,Nyon,VD,fr
Longirod,1261,Longirod,VD,fr
Marchissy,1261,Marchissy,VD,fr
Le Vaud,1261,Le Vaud,VD,fr
Eysins,1262,Eysins,VD,fr
Crassier,1263,Crassier,VD,fr
St-Cergue,1264,Saint-Cergue,VD,fr
La Cure,1265,Saint-Cergue,VD,fr
Duillier,1266,Duillier,VD,fr
Coinsins,1267,Coinsins,VD,fr
Vich,1267,Vich,VD,fr
Begnins,1268,Begnins,VD,fr
Burtigny,1268,Burtigny,VD,fr
Bassins,1269,Bassins,VD,fr
Trélex,1270,Trélex,VD,fr
Givrins,1271,Givrins,VD,fr
Genolier,1272,Genolier,VD,fr
Arzier-Le Muids,1273,Arzier-Le Muids,VD,fr
Grens,1274,Grens,VD,fr
Signy,1274,Signy-Avenex,VD,fr
Chéserex,1275,Chéserex,VD,fr
Gingins,1276,Gingins,VD,fr
Arnex-sur-Nyon,1277,Arnex-sur-Nyon,VD,fr
Borex,1277,Borex,VD,fr
La Rippe,1278,La Rippe,VD,fr
Bogis-Bossey,1279,Bogis-Bossey,VD,fr
Chavannes-de-Bogis,1279,Chavannes-de-Bogis,VD,fr
Russin,1281,Russin,GE,fr
La Plaine,1283,Dardagny,GE,fr
Dardagny,1283,Dardagny,GE,fr
Chancy,1284,Chancy,GE,fr
Athenaz (Avusy),1285,Avusy,GE,fr
Soral,1286,Soral,GE,fr
Laconnex,1287,Laconnex,GE,fr
Aire-la-Ville,1288,Aire-la-Ville,GE,fr
Chavannes-des-Bois,1290,Chavannes-des-Bois,VD,fr
Versoix,1290,Versoix,GE,fr
Commugny,1291,Commugny,VD,fr
Chambésy,1292,Pregny-Chambésy,GE,fr
Bellevue,1293,Bellevue,GE,fr
Genthod,1294,Genthod,GE,fr
Mies,1295,Mies,VD,fr
Tannay,1295,Tannay,VD,fr
Coppet,1296,Coppet,VD,fr
Founex,1297,Founex,VD,fr
Céligny,1298,Céligny,GE,fr
Céligny,1298,Céligny,GE,fr
Crans-près-Céligny,1299,Crans-près-Céligny,VD,fr
Vufflens-la-Ville,1302,Vufflens-la-Ville,VD,fr
Penthaz,1303,Penthaz,VD,fr
Cossonay-Ville,1304,Cossonay,VD,fr
Allens,1304,Cossonay,VD,fr
Dizy,1304,Dizy,VD,fr
Senarclens,1304,Senarclens,VD,fr
Penthalaz,1305,Penthalaz,VD,fr
Daillens,1306,Daillens,VD,fr
Lussery-Villars,1307,Lussery-Villars,VD,fr
La Chaux (Cossonay),1308,La Chaux (Cossonay),VD,fr
Eclépens,1312,Eclépens,VD,fr
Ferreyres,1313,Ferreyres,VD,fr
La Sarraz,1315,La Sarraz,VD,fr
Chevilly,1316,Chevilly,VD,fr
Orny,1317,Orny,VD,fr
Pompaples,1318,Pompaples,VD,fr
Arnex-sur-Orbe,1321,Arnex-sur-Orbe,VD,fr
Croy,1322,Croy,VD,fr
Romainmôtier,1323,Romainmôtier-Envy,VD,fr
Premier,1324,Premier,VD,fr
Vaulion,1325,Vaulion,VD,fr
Juriens,1326,Juriens,VD,fr
Bretonnières,1329,Bretonnières,VD,fr
Vallorbe,1337,Vallorbe,VD,fr
Ballaigues,1338,Ballaigues,VD,fr
L'Orient,1341,Le Chenit,VD,fr
Le Pont,1342,L'Abbaye,VD,fr
Les Charbonnières,1343,Le Lieu,VD,fr
L'Abbaye,1344,L'Abbaye,VD,fr
Le Lieu,1345,Le Lieu,VD,fr
Le Séchey,1345,Le Lieu,VD,fr
Les Bioux,1346,L'Abbaye,VD,fr
Le Sentier,1347,Le Chenit,VD,fr
Le Solliat,1347,Le Chenit,VD,fr
Le Brassus,1348,Le Chenit,VD,fr
Orbe,1350,Orbe,VD,fr
Agiez,1352,Agiez,VD,fr
Bofflens,1353,Bofflens,VD,fr
Montcherand,1354,Montcherand,VD,fr
L'Abergement,1355,L'Abergement,VD,fr
Sergey,1355,Sergey,VD,fr
Les Clées,1356,Les Clées,VD,fr
La Russille,1356,Les Clées,VD,fr
Lignerolle,1357,Lignerolle,VD,fr
Valeyres-sous-Rances,1358,Valeyres-sous-Rances,VD,fr
Bavois,1372,Bavois,VD,fr
Chavornay,1373,Chavornay,VD,fr
Corcelles-sur-Chavornay,1374,Chavornay,VD,fr
Penthéréaz,1375,Penthéréaz,VD,fr
Goumoens-la-Ville,1376,Goumoëns,VD,fr
Eclagnens,1376,Goumoëns,VD,fr
Goumoens-le-Jux,1376,Goumoëns,VD,fr
Oulens-sous-Echallens,1377,Oulens-sous-Echallens,VD,fr
Cheseaux-Noréaz,1400,Cheseaux-Noréaz,VD,fr
Yverdon-les-Bains,1400,Yverdon-les-Bains,VD,fr
Cuarny,1404,Cuarny,VD,fr
Villars-Epeney,1404,Villars-Epeney,VD,fr
Pomy,1405,Pomy,VD,fr
Cronay,1406,Cronay,VD,fr
Bioley-Magnoux,1407,Bioley-Magnoux,VD,fr
Donneloye,1407,Donneloye,VD,fr
Gossens,1407,Donneloye,VD,fr
Mézery-près-Donneloye,1407,Donneloye,VD,fr
Prahins,1408,Donneloye,VD,fr
Chanéaz,1409,Montanaire,VD,fr
Prévondavaux,1410,Prévondavaux,FR,fr
Thierrens,1410,Montanaire,VD,fr
Correvon,1410,Montanaire,VD,fr
Denezy,1410,Montanaire,VD,fr
St-Cierges,1410,Montanaire,VD,fr
Ursins,1412,Ursins,VD,fr
Valeyres-sous-Ursins,1412,Valeyres-sous-Ursins,VD,fr
Orzens,1413,Orzens,VD,fr
Démoret,1415,Démoret,VD,fr
Molondin,1415,Molondin,VD,fr
Pailly,1416,Pailly,VD,fr
Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,VD,fr
Epautheyres,1417,Essertines-sur-Yverdon,VD,fr
Vuarrens,1418,Vuarrens,VD,fr
Fiez,1420,Fiez,VD,fr
Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,VD,fr
Grandevent,1421,Grandevent,VD,fr
Grandson,1422,Grandson,VD,fr
Villars-Burquin,1423,Tévenon,VD,fr
Fontanezier,1423,Tévenon,VD,fr
Romairon,1423,Tévenon,VD,fr
Vaugondry,1423,Tévenon,VD,fr
Champagne,1424,Champagne,VD,fr
Onnens VD,1425,Onnens (VD),VD,fr
Concise,1426,Concise,VD,fr
Corcelles-près-Concise,1426,Corcelles-près-Concise,VD,fr
Bonvillars,1427,Bonvillars,VD,fr
Mutrux,1428,Mutrux,VD,fr
Provence,1428,Provence,VD,fr
Giez,1429,Giez,VD,fr
Orges,1430,Orges,VD,fr
Novalles,1431,Novalles,VD,fr
Vugelles-La Mothe,1431,Vugelles-La Mothe,VD,fr
Belmont-sur-Yverdon,1432,Belmont-sur-Yverdon,VD,fr
Gressy,1432,Yverdon-les-Bains,VD,fr
Suchy,1433,Suchy,VD,fr
Ependes VD,1434,Ependes (VD),VD,fr
Essert-Pittet,1435,Chavornay,VD,fr
Chamblon,1436,Chamblon,VD,fr
Treycovagnes,1436,Treycovagnes,VD,fr
Suscévaz,1437,Suscévaz,VD,fr
Mathod,1438,Mathod,VD,fr
Rances,1439,Rances,VD,fr
Valeyres-sous-Montagny,1441,Valeyres-sous-Montagny,VD,fr
Montagny-près-Yverdon,1442,Montagny-près-Yverdon,VD,fr
Champvent,1443,Champvent,VD,fr
Essert-sous-Champvent,1443,Champvent,VD,fr
Villars-sous-Champvent,1443,Champvent,VD,fr
Vuiteboeuf,1445,Vuiteboeuf,VD,fr
Baulmes,1446,Baulmes,VD,fr
Ste-Croix,1450,Sainte-Croix,VD,fr
La Sagne (Ste-Croix),1450,Sainte-Croix,VD,fr
Le Château-de-Ste-Croix,1450,Sainte-Croix,VD,fr
Les Rasses,1452,Bullet,VD,fr
Bullet,1453,Bullet,VD,fr
Mauborget,1453,Mauborget,VD,fr
L'Auberson,1454,Sainte-Croix,VD,fr
La Vraconnaz,1454,Sainte-Croix,VD,fr
Yvonand,1462,Yvonand,VD,fr
Rovray,1463,Rovray,VD,fr
Chavannes-le-Chêne,1464,Chavannes-le-Chêne,VD,fr
Chêne-Pâquier,1464,Chêne-Pâquier,VD,fr
Cheyres,1468,Cheyres-Châbles,FR,fr
Lully FR,1470,Lully (FR),FR,fr
Seiry,1470,Lully (FR),FR,fr
Bollion,1470,Lully (FR),FR,fr
Estavayer-le-Lac,1470,Estavayer,FR,fr
Châtillon FR,1473,Châtillon (FR),FR,fr
Font,1473,Estavayer,FR,fr
Châbles,1474,Cheyres-Châbles,FR,fr
Autavaux,1475,Estavayer,FR,fr
Forel FR,1475,Estavayer,FR,fr
Montbrelloz,1475,Estavayer,FR,fr
Cugy FR,1482,Cugy (FR),FR,fr
Vesin,1483,Cugy (FR),FR,fr
Montet (Broye),1483,Les Montets,FR,fr
Frasses,1483,Les Montets,FR,fr
Aumont,1484,Les Montets,FR,fr
Granges-de-Vesin,1484,Les Montets,FR,fr
Nuvilly,1485,Nuvilly,FR,fr
Vuissens,1486,Estavayer,FR,fr
Murist,1489,Estavayer,FR,fr
Vucherens,1509,Vucherens,VD,fr
Moudon,1510,Moudon,VD,fr
Syens,1510,Syens,VD,fr
Chavannes-sur-Moudon,1512,Chavannes-sur-Moudon,VD,fr
Hermenches,1513,Hermenches,VD,fr
Rossenges,1513,Rossenges,VD,fr
Bussy-sur-Moudon,1514,Bussy-sur-Moudon,VD,fr
Villars-le-Comte,1515,Villars-le-Comte,VD,fr
Neyruz-sur-Moudon,1515,Montanaire,VD,fr
Curtilles,1521,Curtilles,VD,fr
Lucens,1522,Lucens,VD,fr
Oulens-sur-Lucens,1522,Lucens,VD,fr
Granges-près-Marnand,1523,Valbroye,VD,fr
Marnand,1524,Valbroye,VD,fr
Henniez,1525,Henniez,VD,fr
Seigneux,1525,Valbroye,VD,fr
Forel-sur-Lucens,1526,Lucens,VD,fr
Cremin,1526,Lucens,VD,fr
Villeneuve FR,1527,Surpierre,FR,fr
Surpierre,1528,Surpierre,FR,fr
Praratoud,1528,Surpierre,FR,fr
Cheiry,1529,Cheiry,FR,fr
Payerne,1530,Payerne,VD,fr
Fétigny,1532,Fétigny,FR,fr
Ménières,1533,Ménières,FR,fr
Chapelle (Broye),1534,Cheiry,FR,fr
Sassel,1534,Valbroye,VD,fr
Combremont-le-Grand,1535,Valbroye,VD,fr
Combremont-le-Petit,1536,Valbroye,VD,fr
Champtauroz,1537,Champtauroz,VD,fr
Treytorrens (Payerne),1538,Treytorrens (Payerne),VD,fr
Sévaz,1541,Sévaz,FR,fr
Bussy FR,1541,Estavayer,FR,fr
Morens FR,1541,Estavayer,FR,fr
Rueyres-les-Prés,1542,Estavayer,FR,fr
Grandcour,1543,Grandcour,VD,fr
Gletterens,1544,Gletterens,FR,fr
Chevroux,1545,Chevroux,VD,fr
Vers-chez-Perrin,1551,Payerne,VD,fr
Trey,1552,Trey,VD,fr
Châtonnaye,1553,Châtonnaye,FR,fr
Sédeilles,1554,Villarzel,VD,fr
Rossens VD,1554,Villarzel,VD,fr
Villarzel,1555,Villarzel,VD,fr
Corcelles-près-Payerne,1562,Corcelles-près-Payerne,VD,fr
Dompierre FR,1563,Belmont-Broye,FR,fr
Domdidier,1564,Belmont-Broye,FR,fr
Vallon,1565,Vallon,FR,fr
Missy,1565,Missy,VD,fr
St-Aubin FR,1566,Saint-Aubin (FR),FR,fr
Les Friques,1566,Saint-Aubin (FR),FR,fr
Delley,1567,Delley-Portalban,FR,fr
Portalban,1568,Delley-Portalban,FR,fr
Avenches,1580,Avenches,VD,fr
Oleyres,1580,Avenches,VD,fr
Donatyre,1580,Avenches,VD,fr
Villarepos,1583,Courtepin,FR,fr
Villars-le-Grand,1584,Vully-les-Lacs,VD,fr
Salavaux,1585,Vully-les-Lacs,VD,fr
Bellerive VD,1585,Vully-les-Lacs,VD,fr
Cotterd,1585,Vully-les-Lacs,VD,fr
Vallamand,1586,Vully-les-Lacs,VD,fr
Montmagny,1587,Vully-les-Lacs,VD,fr
Constantine,1587,Vully-les-Lacs,VD,fr
Cudrefin,1588,Cudrefin,VD,fr
Chabrey,1589,Vully-les-Lacs,VD,fr
Clavaleyres,1595,Clavaleyres,BE,de
Faoug,1595,Faoug,VD,fr
Palézieux,1607,Oron,VD,fr
Palézieux-Village,1607,Oron,VD,fr
Les Tavernes,1607,Oron,VD,fr
Les Thioleyres,1607,Oron,VD,fr
Chapelle (Glâne),1608,Chapelle (Glâne),FR,fr
Oron-le-Châtel,1608,Oron,VD,fr
Bussigny-sur-Oron,1608,Oron,VD,fr
Chesalles-sur-Oron,1608,Oron,VD,fr
St-Martin FR,1609,Saint-Martin (FR),FR,fr
Besencens,1609,Saint-Martin (FR),FR,fr
Fiaugères,1609,Saint-Martin (FR),FR,fr
Oron-la-Ville,1610,Oron,VD,fr
Châtillens,1610,Oron,VD,fr
Vuibroye,1610,Oron,VD,fr
Le Crêt-près-Semsales,1611,La Verrerie,FR,fr
Ecoteaux,1612,Oron,VD,fr
Maracon,1613,Maracon,VD,fr
Granges (Veveyse),1614,Granges (Veveyse),FR,fr
Bossonnens,1615,Bossonnens,FR,fr
Attalens,1616,Attalens,FR,fr
Tatroz,1617,Attalens,FR,fr
Remaufens,1617,Remaufens,FR,fr
Châtel-St-Denis,1618,Châtel-Saint-Denis,FR,fr
Les Paccots,1619,Châtel-Saint-Denis,FR,fr
Semsales,1623,Semsales,FR,fr
La Verrerie,1624,La Verrerie,FR,fr
Grattavache,1624,La Verrerie,FR,fr
Progens,1624,La Verrerie,FR,fr
Progens,1624,La Verrerie,FR,fr
Sâles (Gruyère),1625,Sâles,FR,fr
Maules,1625,Sâles,FR,fr
Romanens,1626,Sâles,FR,fr
Treyfayes,1626,Sâles,FR,fr
Rueyres-Treyfayes,1626,Sâles,FR,fr
Vaulruz,1627,Vaulruz,FR,fr
Vuadens,1628,Vuadens,FR,fr
Bulle,1630,Bulle,FR,fr
Riaz,1632,Riaz,FR,fr
Marsens,1633,Marsens,FR,fr
Vuippens,1633,Marsens,FR,fr
La Roche FR,1634,La Roche,FR,fr
La Tour-de-Trême,1635,Bulle,FR,fr
Broc,1636,Broc,FR,fr
Charmey (Gruyère),1637,Val-de-Charmey,FR,fr
Morlon,1638,Morlon,FR,fr
Sorens,1642,Sorens,FR,fr
Gumefens,1643,Pont-en-Ogoz,FR,fr
Avry-devant-Pont,1644,Pont-en-Ogoz,FR,fr
Le Bry,1645,Pont-en-Ogoz,FR,fr
Echarlens,1646,Echarlens,FR,fr
Corbières,1647,Corbières,FR,fr
Hauteville,1648,Hauteville,FR,fr
Pont-la-Ville,1649,Pont-la-Ville,FR,fr
Villarvolard,1651,Corbières,FR,fr
Botterens,1652,Botterens,FR,fr
Villarbeney,1652,Botterens,FR,fr
Châtel-sur-Montsalvens,1653,Châtel-sur-Montsalvens,FR,fr
Crésuz,1653,Crésuz,FR,fr
Cerniat FR,1654,Val-de-Charmey,FR,fr
Jaun,1656,Jaun,FR,de
Im Fang,1656,Jaun,FR,de
Abländschen,1657,Saanen,BE,de
Rossinière,1658,Rossinière,VD,fr
La Tine,1658,Rossinière,VD,fr
Rougemont,1659,Rougemont,VD,fr
Flendruz,1659,Rougemont,VD,fr
Château-d’Oex,1660,Château-d’Oex,VD,fr
Les Moulins,1660,Château-d’Oex,VD,fr
L'Etivaz,1660,Château-d’Oex,VD,fr
La Lécherette,1660,Château-d’Oex,VD,fr
Le Pâquier-Montbarry,1661,Le Pâquier (FR),FR,fr
Gruyères,1663,Gruyères,FR,fr
Pringy,1663,Gruyères,FR,fr
Epagny,1663,Gruyères,FR,fr
Moléson-sur-Gruyères,1663,Gruyères,FR,fr
Estavannens,1665,Bas-Intyamon,FR,fr
Grandvillard,1666,Grandvillard,FR,fr
Villars-sous-Mont,1666,Bas-Intyamon,FR,fr
Enney,1667,Bas-Intyamon,FR,fr
Albeuve,1669,Haut-Intyamon,FR,fr
Lessoc,1669,Haut-Intyamon,FR,fr
Les Sciernes-d'Albeuve,1669,Haut-Intyamon,FR,fr
Neirivue,1669,Haut-Intyamon,FR,fr
Montbovon,1669,Haut-Intyamon,FR,fr
Ursy,1670,Ursy,FR,fr
Bionnens,1670,Ursy,FR,fr
Esmonts,1670,Ursy,FR,fr
Auboranges,1673,Auboranges,FR,fr
Ecublens FR,1673,Ecublens (FR),FR,fr
Promasens,1673,Rue,FR,fr
Gillarens,1673,Rue,FR,fr
Rue,1673,Rue,FR,fr
Montet (Glâne),1674,Montet (Glâne),FR,fr
Vuarmarens,1674,Ursy,FR,fr
Morlens,1674,Ursy,FR,fr
Blessens,1675,Rue,FR,fr
Vauderens,1675,Ursy,FR,fr
Mossel,1675,Ursy,FR,fr
Chavannes-les-Forts,1676,Siviriez,FR,fr
Prez-vers-Siviriez,1677,Siviriez,FR,fr
Siviriez,1678,Siviriez,FR,fr
Villaraboud,1679,Siviriez,FR,fr
Berlens,1680,Mézières (FR),FR,fr
Romont FR,1680,Romont (FR),FR,fr
Billens,1681,Billens-Hennens,FR,fr
Hennens,1681,Billens-Hennens,FR,fr
Dompierre VD,1682,Dompierre (VD),VD,fr
Lovatens,1682,Lovatens,VD,fr
Prévonloup,1682,Prévonloup,VD,fr
Villars-Bramard,1682,Valbroye,VD,fr
Cerniaz VD,1682,Valbroye,VD,fr
Brenles,1683,Lucens,VD,fr
Chesalles-sur-Moudon,1683,Lucens,VD,fr
Sarzens,1683,Lucens,VD,fr
Mézières FR,1684,Mézières (FR),FR,fr
Villariaz,1685,Vuisternens-devant-Romont,FR,fr
Grangettes-près-Romont,1686,Grangettes,FR,fr
La Neirigue,1686,Vuisternens-devant-Romont,FR,fr
Vuisternens-devant-Romont,1687,Vuisternens-devant-Romont,FR,fr
La Magne,1687,Vuisternens-devant-Romont,FR,fr
Estévenens,1687,Vuisternens-devant-Romont,FR,fr
Sommentier,1688,Vuisternens-devant-Romont,FR,fr
Lieffrens,1688,Vuisternens-devant-Romont,FR,fr
